#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
"92
{[@1#8383#39677#36381703@]}",Assigned Link,已指派的链接," 
{[@3#@]}"," 
{[@3#@]}",
"93
{[@1#8383#39677#36381704@]}",auto,自动," 
{[@3#@]}"," 
{[@3#@]}",
"94
{[@1#8383#39677#36381705@]}",(auto),（自动）," 
{[@3#@]}"," 
{[@3#@]}",
"95
{[@1#8383#39677#36381706@]}",Auto,自动," 
{[@3#@]}"," 
{[@3#@]}",
"96
{[@1#8383#39677#36381707@]}",Auto Last Hop,自动记住上一跳跃," 
{[@3#@]}"," 
{[@3#@]}",
"97
{[@1#8383#39677#36381708@]}",CMP Hash,CMP 散列," 
{[@3#@]}"," 
{[@3#@]}",
"98
{[@1#8383#39677#36381709@]}",Auto Map,自动映射," 
{[@3#@]}"," 
{[@3#@]}",
"99
{[@1#8383#39677#36381710@]}",Auto Refresh,自动刷新," 
{[@3#@]}"," 
{[@3#@]}",
"100
{[@1#8383#39677#36381711@]}",Automatic,自动," 
{[@3#@]}"," 
{[@3#@]}",
"101
{[@1#8383#39677#36381712@]}",Manual,手动," 
{[@3#@]}"," 
{[@3#@]}",
"102
{[@1#8383#39677#36381713@]}",Manual Security Associations,手动安全关联," 
{[@3#@]}"," 
{[@3#@]}",
"103
{[@1#8383#39677#36381714@]}",Mappings,映射," 
{[@3#@]}"," 
{[@3#@]}",
"104
{[@1#8383#39677#36381715@]}",Match,匹配," 
{[@3#@]}"," 
{[@3#@]}",
"105
{[@1#8383#39677#36381716@]}",No Match,不匹配," 
{[@3#@]}"," 
{[@3#@]}",
"106
{[@1#8383#39677#36381717@]}",Matching,匹配," 
{[@3#@]}"," 
{[@3#@]}",
"107
{[@1#8383#39677#36381718@]}",Message Routing,消息路由," 
{[@3#@]}"," 
{[@3#@]}",
"108
{[@1#8383#39677#36381719@]}",Messages,消息," 
{[@3#@]}"," 
{[@3#@]}",
"109
{[@1#8383#39677#36381720@]}",Miscellaneous,其他," 
{[@3#@]}"," 
{[@3#@]}",
"110
{[@1#8383#39677#36381721@]}",Modules,模块," 
{[@3#@]}"," 
{[@3#@]}",
"111
{[@1#8383#39677#36381722@]}",Module,模块," 
{[@3#@]}"," 
{[@3#@]}",
"112
{[@1#8383#39677#36381723@]}",Monitoring,监测," 
{[@3#@]}"," 
{[@3#@]}",
"113
{[@1#8383#39677#36381724@]}",Multicast,多播," 
{[@3#@]}"," 
{[@3#@]}",
"114
{[@1#8383#39677#36381725@]}",(Unassigned),（未指派）," 
{[@3#@]}"," 
{[@3#@]}",
"115
{[@1#8383#39677#36381726@]}",Unicast,单播," 
{[@3#@]}"," 
{[@3#@]}",
"116
{[@1#8383#39677#36381727@]}",Multipoint,多点," 
{[@3#@]}"," 
{[@3#@]}",
"117
{[@1#8383#39677#36381728@]}",Replicator,重复符," 
{[@3#@]}"," 
{[@3#@]}",
"118
{[@1#8383#39677#36381729@]}",Source Address,源地址," 
{[@3#@]}"," 
{[@3#@]}",
"119
{[@1#8383#39677#36381730@]}",Destination Address,目标地址," 
{[@3#@]}"," 
{[@3#@]}",
"120
{[@1#8383#39677#36381731@]}",Destination Address/Mask,目标地址/掩码," 
{[@3#@]}"," 
{[@3#@]}",
"121
{[@1#8383#39677#36381732@]}",Not Assigned,未指派," 
{[@3#@]}"," 
{[@3#@]}",
"122
{[@1#8383#39677#36381733@]}",Available,可用," 
{[@3#@]}"," 
{[@3#@]}",
"123
{[@1#8383#39677#36381734@]}",Availability,可用性," 
{[@3#@]}"," 
{[@3#@]}",
"124
{[@1#8383#39677#36381735@]}",Available Disk Space,可用磁盘空间," 
{[@3#@]}"," 
{[@3#@]}",
"125
{[@1#8383#39677#36381736@]}",Available (Click to sort),可用（单击以排序）," 
{[@3#@]}"," 
{[@3#@]}",
"126
{[@1#8383#39677#36381737@]}",Backlogs,待办事项," 
{[@3#@]}"," 
{[@3#@]}",
"127
{[@1#8383#39677#36381738@]}",Bandwidth Controller List,带宽控制器列表," 
{[@3#@]}"," 
{[@3#@]}",
"128
{[@1#8383#39677#36381739@]}",Bandwidth Controllers,带宽控制器," 
{[@3#@]}"," 
{[@3#@]}",
"129
{[@1#8383#39677#36381740@]}",Basic,基本," 
{[@3#@]}"," 
{[@3#@]}",
"130
{[@1#8383#39677#36381741@]}",Bidirectional,双向," 
{[@3#@]}"," 
{[@3#@]}",
"131
{[@1#8383#39677#36381742@]}",Bits,位数," 
{[@3#@]}"," 
{[@3#@]}",
"132
{[@1#8383#39677#36381743@]}","Bits, Packets, Connections",位数、数据包数、连接数," 
{[@3#@]}"," 
{[@3#@]}",
"133
{[@1#8383#39677#36381744@]}","Bits, Packets, Conn.",位数、数据包数、连接数," 
{[@3#@]}"," 
{[@3#@]}",
"133-2
{[@1#8383#39677#36394344@]}",/ sec,/秒," 
{[@3#@]}"," 
{[@3#@]}",
"134
{[@1#8383#39677#36381745@]}",Bytes,字节数," 
{[@3#@]}"," 
{[@3#@]}",
"135
{[@1#8383#39677#36381746@]}",Bytes / Connections,字节数/连接数," 
{[@3#@]}"," 
{[@3#@]}",
"136
{[@1#8383#39677#36381747@]}",Bytes Dropped,已丢弃的字节数," 
{[@3#@]}"," 
{[@3#@]}",
"137
{[@1#8383#39677#36381748@]}",Bytes In,接收字节数," 
{[@3#@]}"," 
{[@3#@]}",
"138
{[@1#8383#39677#36381749@]}",Bytes Out,发出字节数," 
{[@3#@]}"," 
{[@3#@]}",
"139
{[@1#8383#39677#36381750@]}","Bytes, Packets, Connections",字节数、数据包数、连接数," 
{[@3#@]}"," 
{[@3#@]}",
"140
{[@1#8383#39677#36381751@]}","Bytes, Packets, Conn.",字节数、数据包数、连接数," 
{[@3#@]}"," 
{[@3#@]}",
"140-2
{[@1#8383#39677#36394345@]}",/ sec,/秒," 
{[@3#@]}"," 
{[@3#@]}",
"141
{[@1#8383#39677#36381752@]}",Before,之前," 
{[@3#@]}"," 
{[@3#@]}",
"142
{[@1#8383#39677#36381753@]}",BigDB,BigDB," 
{[@3#@]}"," 
{[@3#@]}",
"143
{[@1#8383#39677#36381754@]}",BIG-IP,BIG-IP," 
{[@3#@]}"," 
{[@3#@]}",
"144
{[@1#8383#39677#36381755@]}",BIG-IP Controller,BIG-IP 控制器," 
{[@3#@]}"," 
{[@3#@]}",
"145
{[@1#8383#39677#36381756@]}",BIG-IP Controller Name,BIG-IP 控制器名称," 
{[@3#@]}"," 
{[@3#@]}",
"146
{[@1#8383#39677#36381757@]}",BIG-IP IP Address,BIG-IP IP 地址," 
{[@3#@]}"," 
{[@3#@]}",
"147
{[@1#8383#39677#36381758@]}",BIG-IP Monitor,BIG-IP 监测器," 
{[@3#@]}"," 
{[@3#@]}",
"148
{[@1#8383#39677#36381759@]}",Bigpipe Command,Bigpipe 命令," 
{[@3#@]}"," 
{[@3#@]}",
"149
{[@1#8383#39677#36381760@]}",Black,黑," 
{[@3#@]}"," 
{[@3#@]}",
"150
{[@1#8383#39677#36381761@]}",Boot Partition,启动分区," 
{[@3#@]}"," 
{[@3#@]}",
"151
{[@1#8383#39677#36381762@]}",Build,构建," 
{[@3#@]}"," 
{[@3#@]}",
"152
{[@1#8383#39677#36381763@]}",Cancel,取消," 
{[@3#@]}"," 
{[@3#@]}",
"153
{[@1#8383#39677#36381764@]}",Cannot communicate with the system services.,无法与系统服务通信。," 
{[@3#@]}"," 
{[@3#@]}",
"154
{[@1#8383#39677#36381765@]}",Certificate,证书," 
{[@3#@]}"," 
{[@3#@]}",
"155
{[@1#8383#39677#36381766@]}",Comment,注释," 
{[@3#@]}"," 
{[@3#@]}",
"156
{[@1#8383#39677#36381767@]}",Contact,联系," 
{[@3#@]}"," 
{[@3#@]}",
"157
{[@1#8383#39677#36381768@]}",Continent,洲," 
{[@3#@]}"," 
{[@3#@]}",
"158
{[@1#8383#39677#36381769@]}",Country,国家/地区," 
{[@3#@]}"," 
{[@3#@]}",
"159
{[@1#8383#39677#36381770@]}",City,城市," 
{[@3#@]}"," 
{[@3#@]}",
"160
{[@1#8383#39677#36381771@]}",Change,更改," 
{[@3#@]}"," 
{[@3#@]}",
"161
{[@1#8383#39677#36381772@]}",Changeset,更改集," 
{[@3#@]}"," 
{[@3#@]}",
"162
{[@1#8383#39677#36381773@]}",Changesets,更改集," 
{[@3#@]}"," 
{[@3#@]}",
"163
{[@1#8383#39677#36381774@]}",Change...,更改...," 
{[@3#@]}"," 
{[@3#@]}",
"164
{[@1#8383#39677#36381775@]}",Change sort order,更改排列顺序," 
{[@3#@]}"," 
{[@3#@]}",
"165
{[@1#8383#39677#36381776@]}",Chassis Serial Number,机箱序列号," 
{[@3#@]}"," 
{[@3#@]}",
"166
{[@1#8383#39677#36381777@]}",Check All,全部选中," 
{[@3#@]}"," 
{[@3#@]}",
"167
{[@1#8383#39677#36381778@]}",Choose...,选择...," 
{[@3#@]}"," 
{[@3#@]}",
"168
{[@1#8383#39677#36381779@]}",Client,客户端," 
{[@3#@]}"," 
{[@3#@]}",
"169
{[@1#8383#39677#36381780@]}",Current Location,当前位置," 
{[@3#@]}"," 
{[@3#@]}",
"170
{[@1#8383#39677#36381781@]}",Concurrency Limit,并发限制," 
{[@3#@]}"," 
{[@3#@]}",
